Date,HStart,HEnd,Matière,Type,Location,Groupe,Enseignant,,,,,,,
2024-01-22:,08:00:00,11:00:00,RLAN1 Exam,TP4,C1bis,1ATP4,CHEBBI SAMAR,,(Updated,27/11/2023 15,00),,,
2023-12-19:,12:30:00,14:30:00,Prog1,TP3,B3,1ATP3,ZAYENE MARIEM,,(Updated,06/12/2023 09,27),,,
2023-12-21:,14:30:00,16:30:00,SAE15,TDA,B8,1ATDA,HABACHI OUSSAMA,,(Updated,20/11/2023 10,36),,,
2023-11-16:,14:30:00,16:30:00,Prog1,TP5,C5,1ATP5,SIGURET ARNAUD,,(Updated,06/11/2023 17,58),,,
2023-09-29:,11:30:00,13:30:00,SAE12,TP1,B8,1ATP1,HERNANDEZ SEBASTIEN,,(Updated,25/09/2023 13,24),,,
2023-09-13:,11:30:00,13:30:00,Soutien math/info,,"A8,B6",1ATDA,,(Updated,08/09/2023 17,06),,,,
2023-11-23:,14:30:00,16:30:00,Prog1,TP4,C5,1ATP4,PERRIOT ROMAIN,,(Updated,14/11/2023 10,27),,,
2023-10-23:,06:00:00,08:00:00,SAE13,TDC,B8,1ATDC,COURSIMAULT DAVID,,(Updated,13/11/2023 16,52),,,
2023-10-12:,06:00:00,08:00:00,Syst1,TP1,B3,1ATP1,WEZL MICHAEL,,(Updated,03/10/2023 11,25),,,
2023-11-21:,07:00:00,09:00:00,SAE12,TDC,C5,1ATDC,HERNANDEZ SEBASTIEN,,(Updated,17/11/2023 09,49),,,
2023-10-03:,08:00:00,10:00:00,Elec1,TDC,A6,1ATDC,CAPALLERA FLORENCE,,(Updated,25/09/2023 13,48),,,
2023-10-23:,13:30:00,15:30:00,SAE13,TDA,B3,1ATDA,COURSIMAULT DAVID,,(Updated,10/10/2023 13,49),,,
2023-10-13:,08:00:00,10:00:00,SAE13,TDA-PT,"B6,B8",1ATDA,,(Updated,06/10/2023 11,21),,,,
2023-10-24:,11:30:00,13:30:00,Com1,TDA,B7,1ATDA,GIRAUD NADINE,,(Updated,10/10/2023 13,24),,,
2023-12-08:,12:30:00,15:30:00,Archi-Rés1,TP5,C1bis,1ATP5,FREITAS ANTONIO,,(Updated,24/11/2023 11,29),,,
2024-01-18:,12:00:00,15:00:00,Archi-Rés1 Exam,TP2,C1bis,1ATP2,HERNANDEZ SEBASTIEN,,(Updated,19/12/2023 10,33),,,
2023-09-26:,11:30:00,13:30:00,Init-Rés1,TDB,B8,1ATDB,HERNANDEZ SEBASTIEN,,(Updated,25/09/2023 12,19),,,
2023-10-12:,11:30:00,13:30:00,Fête de la science,,,1ATP1,1ATP2,1ATP3,1ATP4,1ATP5,,(Updated,25/09/2023 17,05)
2023-12-12:,07:00:00,09:00:00,Com1,TP2,B7,1ATP2,GIRAUD NADINE,,(Updated,09/11/2023 16,22),,,
2023-12-07:,07:00:00,09:00:00,Com1,TP4,B7,1ATP4,GIRAUD NADINE,,(Updated,09/11/2023 13,00),,,
2023-11-27:,12:00:00,15:00:00,Archi-Sys1,TP5,C5,1ATP5,PERRIOT ROMAIN,,(Updated,09/11/2023 18,47),,,
2023-12-22:,09:00:00,11:00:00,Math-Trans1,TDA,A6,1ATDA,COURSIMAULT DAVID,,(Updated,09/11/2023 17,06),,,
2023-09-25:,08:00:00,10:00:00,Math-Signal1,TDB,A5bis,1ATDB,COURSIMAULT DAVID,,(Updated,24/09/2023 18,36),,,
2023-11-09:,12:30:00,14:30:00,Anglais1,TP4,B2,1ATP4,BEIGNON D AGOSTINO LAURE,,(Updated,27/10/2023 10,36),,,
2023-10-06:,07:00:00,10:00:00,Init-Rés1,TP4,C7,1ATP4,FREITAS ANTONIO,,(Updated,25/08/2023 13,11),,,
2023-09-13:,11:30:00,13:30:00,Soutien math/info,,"B8,A5bis",1ATDC,,(Updated,08/09/2023 18,16),,,,
2023-09-14:,06:00:00,07:00:00,SAE11,Cours,A5-A5bis,1A,JACQUET FREDERIQUE,,(Updated,07/07/2023 13,42),,,
2023-12-18:,09:00:00,11:00:00,RLAN1,TDA,B3,1ATDA,FREITAS ANTONIO,,(Updated,09/11/2023 16,48),,,
2023-09-19:,13:30:00,15:30:00,Anglais1,TDA,Labo multimédia A105,1ATDA,BEIGNON D AGOSTINO LAURE,,(Updated,18/09/2023 12,58),,,
2023-11-17:,09:00:00,11:00:00,SAE12,TDC-PT,"B4,B6",1ATDC,,(Updated,06/11/2023 18,30),,,,
2024-01-08:,08:00:00,11:00:00,RLAN1,TP5,C1bis,1ATP5,CHEBBI SAMAR,,(Updated,27/11/2023 14,57),,,
2024-01-10:,09:00:00,11:00:00,Math-Trans1,TDA,A5,1ATDA,COURSIMAULT DAVID,,(Updated,27/11/2023 15,56),,,
2023-11-23:,08:00:00,09:00:00,Soutien Télécoms,,,1ATDC,,(Updated,15/11/2023 16,13),,,,
2023-10-20:,06:00:00,09:00:00,Init-Rés1,TP3,C7,1ATP3,DELOS HUGO,,(Updated,20/11/2023 10,24),,,
2023-11-20:,14:30:00,16:30:00,Anglais1,TP2,B2,1ATP2,BEIGNON D AGOSTINO LAURE,,(Updated,31/10/2023 19,07),,,
2024-01-12:,08:00:00,11:00:00,Archi-Rés1,TP5,B8,1ATP5,FREITAS ANTONIO,,(Updated,27/11/2023 14,53),,,
2023-10-16:,13:30:00,15:30:00,Prog1,TP5,C5,1ATP5,SIGURET ARNAUD,,(Updated,05/10/2023 18,45),,,
2023-10-26:,08:00:00,10:00:00,Syst1,TP1,B8,1ATP1,WEZL MICHAEL,,(Updated,10/10/2023 18,36),,,
2024-01-16:,15:00:00,16:00:00,SAE14,TP5,B2,1ATP5,HABACHI OUSSAMA,,(Updated,13/12/2023 11,38),,,
2023-09-21:,11:30:00,13:30:00,Anglais1,TDB,Labo multimédia A109,1ATDB,BEIGNON D AGOSTINO LAURE,,(Updated,17/07/2023 17,40),,,
